cycle,epoch,total_loss,policy_loss,value_loss
1,last,2.8833,2.7664,0.1168
2,last,2.9133,2.8038,0.1094
3,last,2.9070,2.8244,0.0826
4,last,2.9075,2.8353,0.0722
5,last,2.9135,2.8443,0.0692
6,last,2.9060,2.8360,0.0700
7,last,2.9120,2.8276,0.0843
8,last,2.8741,2.7996,0.0745
9,last,2.8474,2.7763,0.0711
10,last,2.8606,2.7653,0.0953
11,last,2.8557,2.7439,0.1118
12,last,2.8187,2.7342,0.0845
13,last,2.7998,2.7269,0.0729
14,last,2.8041,2.7271,0.0770
15,last,2.7874,2.7222,0.0653
16,last,2.7901,2.7233,0.0668
17,last,2.7833,2.7198,0.0635
18,last,2.7731,2.7168,0.0564
19,last,2.7703,2.7154,0.0549
20,last,2.7688,2.7135,0.0553
21,last,2.7601,2.7093,0.0508
22,last,2.7617,2.7102,0.0515
23,last,2.7652,2.7119,0.0533
24,last,2.7522,2.7072,0.0449
25,last,2.7554,2.7060,0.0494
26,last,2.7576,2.7077,0.0499
27,last,2.7718,2.7113,0.0605
28,last,2.7598,2.7085,0.0513
29,last,2.7542,2.7062,0.0480
30,last,2.7556,2.7066,0.0490
31,last,2.7548,2.7061,0.0488
32,last,2.8153,2.7561,0.0592
33,last,2.8779,2.7669,0.1110
34,last,2.8343,2.7598,0.0745
